"aspect","description","framework"
"Operational excellence","Support development and run workloads effectively by incrementally improving and automating more activities based on insights.","WAF"
"Security (WAF)","Ensure the confidentiality, integrity, traceability and availability of data, systems and assets.","WAF"
"Reliability","Ensure a workload is able to perform its intended function correctly and consistently when exepcted.","WAF"
"Performance efficiency","Use computing resources efficiently, without overprovisioning capacity and without sacrificing reliability, and adapt to new technologies.","WAF"
"Cost optimisation","Deliver business value at the lowest possible cost.","WAF"
"Sustainability","Minimise the environmental impacts of running workloads.","WAF"
"Business","Ensure that cloud investments accelerate business outcomes with an integrated business/IT strategy","CAF"
"People","Prioritise training, staffing and organisational changes to evolve a culture of continuous growth and embracing change.","CAF"
"Governance","Orchestrate cloud initiatives to maximise benefits and minimise risk.","CAF"
"Platform","Modernise existing workloads and implement new cloud-native solutions.","CAF"
"Security (CAF)","Achieve the confidentiality, integrity and availability of your data and cloud workloads.","CAF"
"Operations","Help enable, run, use, operate and recover IT workloads to ensure that cloud services are delivered at a level that meets the needs of your business.","CAF"
"Rehosting","""Lift and shift"" - move an application to the cloud with little to no modification","Migration Strategies"
"Replatforming","""Lift, tinker and shift"" - move an application to the cloud with some optimisation, without changing the code","Migration Strategies"
"Refactoring / re-architecting","Change how an application is architected and developed by writing new code that takes advantage of cloud-native features","Migration Strategies"
"Retiring","Use migration as an opportunity to EOL unused applications","Migration Strategies"
"Retaining","Don't migrate at all - but wait on sacking them off","Migration Strategies"
"Repurchasing","Move from a traditional licence to SaaS","Migration Strategies"
